4334
3752	917	3
1526	1418	21
855	3824	35
1969	3833	0
1114	4401	35
3467	3615	41
82	3439	3
1240	4242	35
1910	2923	35
2529	4425	35
1411	2057	35
3816	3994	35
2700	11	6
2961	666	3
1698	1216	35
2135	784	35
3830	389	35
3732	4346	3
4246	2198	3
866	3773	35
2445	3833	17
2205	4228	35
616	4278	3
3732	1734	3
3227	3014	16
3732	3833	0
1356	2580	34
3875	1702	35
1240	1776	35
855	538	35
3629	2786	35
2140	4029	3
2754	2601	34
2340	4215	31
96	2282	35
399	615	3
4336	2979	23
1789	1014	35
3189	2864	35
1952	3833	0
235	2372	29
2529	262	35
3905	3561	36
1420	4024	41
3974	3025	35
1782	4176	35
1240	3912	35
802	4090	35
1232	438	44
3746	1080	35
2872	4046	35
486	3262	2
3398	2989	3
94	3241	35
2286	1829	3
689	3833	15
2987	1519	23
1289	3331	35
2367	4334	35
3134	3706	35
2867	934	35
2796	1831	35
2460	1272	3
2924	3560	33
3875	558	35
1952	735	3
82	438	44
401	3014	16
3467	160	2
2471	2289	3
1356	1241	11
2512	3833	0
399	1245	3
1240	4212	35
3090	4220	35
207	3833	0
2069	278	35
1154	3961	35
44	3340	35
2872	1332	3
677	3014	16
3137	2323	35
2512	635	3
3398	3926	3
1896	2066	35
1131	4021	43
4119	1871	43
1847	1569	35
1805	410	3
1240	2332	35
82	1099	3
1420	1354	2
3875	1497	23
2286	793	23
2308	209	35
81	282	35
4246	3716	35
651	1732	35
4384	3833	0
1356	1044	6
4413	2948	34
3597	3670	3
4430	3791	13
1307	3014	16
1969	4157	3
279	2039	35
1526	1526	33
3365	21	3
1663	2163	2
2420	1147	35
3161	438	44
3805	3833	0
3875	3833	17
4438	458	6
4413	1347	6
3639	2855	35
1354	2900	31
1501	1304	35
696	1648	3
12	4087	3
2987	655	31
3635	2090	41
2135	4396	31
2872	1861	3
56	706	35
12	1135	35
814	3833	15
26	3799	3
1828	3833	0
4392	3751	3
1633	3298	3
3046	1439	2
1423	3833	17
4311	3155	3
1240	760	35
26	4184	3
3189	3833	23
2658	691	13
956	1931	35
703	1279	2
853	3833	0
1298	2668	35
134	1120	3
4303	4396	31
2140	3982	3
3384	4106	3
4159	3308	35
323	659	35
1277	2688	29
1201	3833	15
3959	676	35
1633	4309	35
1577	1542	35
1548	2301	35
1201	680	31
1730	4048	8
4246	4013	16
2471	2042	3
2417	3598	29
855	1479	35
1411	2640	35
677	4168	15
1952	970	23
2620	2519	35
2658	402	31
2912	4400	35
3471	4199	35
4427	1035	3
4179	1131	41
3090	3563	15
399	4364	3
2089	3014	16
82	2266	29
3635	3322	2
140	436	35
2471	3833	23
3623	3236	16
1001	471	35
2982	1640	35
3469	3317	41
936	438	44
2286	3449	3
241	4286	17
4196	4434	35
2135	2782	35
3144	3536	13
1385	1869	35
3484	137	35
4302	3493	13
3309	2527	35
359	1182	23
44	2963	35
3967	29	35
4430	203	35
936	3833	17
399	2553	3
3467	25	21
3269	438	44
2620	1286	13
3635	4155	4
3433	2004	35
2477	3741	35
2427	794	23
